DateKey,Date,Day,Month,MonthNo,Quarter,Year
20220101,2022-01-01,Saturday,Jan,1,1,2022
20220102,2022-01-02,Sunday,Jan,1,1,2022
20220103,2022-01-03,Monday,Jan,1,1,2022
20220104,2022-01-04,Tuesday,Jan,1,1,2022
20220105,2022-01-05,Wednesday,Jan,1,1,2022
20220106,2022-01-06,Thursday,Jan,1,1,2022
20220107,2022-01-07,Friday,Jan,1,1,2022
20220108,2022-01-08,Saturday,Jan,1,1,2022
20220109,2022-01-09,Sunday,Jan,1,1,2022
20220110,2022-01-10,Monday,Jan,1,1,2022
20220111,2022-01-11,Tuesday,Jan,1,1,2022
20220112,2022-01-12,Wednesday,Jan,1,1,2022
20220113,2022-01-13,Thursday,Jan,1,1,2022
20220114,2022-01-14,Friday,Jan,1,1,2022
20220115,2022-01-15,Saturday,Jan,1,1,2022
20220116,2022-01-16,Sunday,Jan,1,1,2022
20220117,2022-01-17,Monday,Jan,1,1,2022
20220118,2022-01-18,Tuesday,Jan,1,1,2022
20220119,2022-01-19,Wednesday,Jan,1,1,2022
20220120,2022-01-20,Thursday,Jan,1,1,2022
20220121,2022-01-21,Friday,Jan,1,1,2022
20220122,2022-01-22,Saturday,Jan,1,1,2022
20220123,2022-01-23,Sunday,Jan,1,1,2022
20220124,2022-01-24,Monday,Jan,1,1,2022
20220125,2022-01-25,Tuesday,Jan,1,1,2022
20220126,2022-01-26,Wednesday,Jan,1,1,2022
20220127,2022-01-27,Thursday,Jan,1,1,2022
20220128,2022-01-28,Friday,Jan,1,1,2022
20220129,2022-01-29,Saturday,Jan,1,1,2022
20220130,2022-01-30,Sunday,Jan,1,1,2022
20220131,2022-01-31,Monday,Jan,1,1,2022
20220201,2022-02-01,Tuesday,Feb,2,1,2022
20220202,2022-02-02,Wednesday,Feb,2,1,2022
20220203,2022-02-03,Thursday,Feb,2,1,2022
20220204,2022-02-04,Friday,Feb,2,1,2022
20220205,2022-02-05,Saturday,Feb,2,1,2022
20220206,2022-02-06,Sunday,Feb,2,1,2022
20220207,2022-02-07,Monday,Feb,2,1,2022
20220208,2022-02-08,Tuesday,Feb,2,1,2022
20220209,2022-02-09,Wednesday,Feb,2,1,2022
20220210,2022-02-10,Thursday,Feb,2,1,2022
20220211,2022-02-11,Friday,Feb,2,1,2022
20220212,2022-02-12,Saturday,Feb,2,1,2022
20220213,2022-02-13,Sunday,Feb,2,1,2022
20220214,2022-02-14,Monday,Feb,2,1,2022
20220215,2022-02-15,Tuesday,Feb,2,1,2022
20220216,2022-02-16,Wednesday,Feb,2,1,2022
20220217,2022-02-17,Thursday,Feb,2,1,2022
20220218,2022-02-18,Friday,Feb,2,1,2022
20220219,2022-02-19,Saturday,Feb,2,1,2022
20220220,2022-02-20,Sunday,Feb,2,1,2022
20220221,2022-02-21,Monday,Feb,2,1,2022
20220222,2022-02-22,Tuesday,Feb,2,1,2022
20220223,2022-02-23,Wednesday,Feb,2,1,2022
20220224,2022-02-24,Thursday,Feb,2,1,2022
20220225,2022-02-25,Friday,Feb,2,1,2022
20220226,2022-02-26,Saturday,Feb,2,1,2022
20220227,2022-02-27,Sunday,Feb,2,1,2022
20220228,2022-02-28,Monday,Feb,2,1,2022
20220301,2022-03-01,Tuesday,Mar,3,1,2022
20220302,2022-03-02,Wednesday,Mar,3,1,2022
20220303,2022-03-03,Thursday,Mar,3,1,2022
20220304,2022-03-04,Friday,Mar,3,1,2022
20220305,2022-03-05,Saturday,Mar,3,1,2022
20220306,2022-03-06,Sunday,Mar,3,1,2022
20220307,2022-03-07,Monday,Mar,3,1,2022
20220308,2022-03-08,Tuesday,Mar,3,1,2022
20220309,2022-03-09,Wednesday,Mar,3,1,2022
20220310,2022-03-10,Thursday,Mar,3,1,2022
20220311,2022-03-11,Friday,Mar,3,1,2022
20220312,2022-03-12,Saturday,Mar,3,1,2022
20220313,2022-03-13,Sunday,Mar,3,1,2022
20220314,2022-03-14,Monday,Mar,3,1,2022
20220315,2022-03-15,Tuesday,Mar,3,1,2022
20220316,2022-03-16,Wednesday,Mar,3,1,2022
20220317,2022-03-17,Thursday,Mar,3,1,2022
20220318,2022-03-18,Friday,Mar,3,1,2022
20220319,2022-03-19,Saturday,Mar,3,1,2022
20220320,2022-03-20,Sunday,Mar,3,1,2022
20220321,2022-03-21,Monday,Mar,3,1,2022
20220322,2022-03-22,Tuesday,Mar,3,1,2022
20220323,2022-03-23,Wednesday,Mar,3,1,2022
20220324,2022-03-24,Thursday,Mar,3,1,2022
20220325,2022-03-25,Friday,Mar,3,1,2022
20220326,2022-03-26,Saturday,Mar,3,1,2022
20220327,2022-03-27,Sunday,Mar,3,1,2022
20220328,2022-03-28,Monday,Mar,3,1,2022
20220329,2022-03-29,Tuesday,Mar,3,1,2022
20220330,2022-03-30,Wednesday,Mar,3,1,2022
20220331,2022-03-31,Thursday,Mar,3,1,2022
20220401,2022-04-01,Friday,Apr,4,2,2022
20220402,2022-04-02,Saturday,Apr,4,2,2022
20220403,2022-04-03,Sunday,Apr,4,2,2022
20220404,2022-04-04,Monday,Apr,4,2,2022
20220405,2022-04-05,Tuesday,Apr,4,2,2022
20220406,2022-04-06,Wednesday,Apr,4,2,2022
20220407,2022-04-07,Thursday,Apr,4,2,2022
20220408,2022-04-08,Friday,Apr,4,2,2022
20220409,2022-04-09,Saturday,Apr,4,2,2022
20220410,2022-04-10,Sunday,Apr,4,2,2022
20220411,2022-04-11,Monday,Apr,4,2,2022
20220412,2022-04-12,Tuesday,Apr,4,2,2022
20220413,2022-04-13,Wednesday,Apr,4,2,2022
20220414,2022-04-14,Thursday,Apr,4,2,2022
20220415,2022-04-15,Friday,Apr,4,2,2022
20220416,2022-04-16,Saturday,Apr,4,2,2022
20220417,2022-04-17,Sunday,Apr,4,2,2022
20220418,2022-04-18,Monday,Apr,4,2,2022
20220419,2022-04-19,Tuesday,Apr,4,2,2022
20220420,2022-04-20,Wednesday,Apr,4,2,2022
20220421,2022-04-21,Thursday,Apr,4,2,2022
20220422,2022-04-22,Friday,Apr,4,2,2022
20220423,2022-04-23,Saturday,Apr,4,2,2022
20220424,2022-04-24,Sunday,Apr,4,2,2022
20220425,2022-04-25,Monday,Apr,4,2,2022
20220426,2022-04-26,Tuesday,Apr,4,2,2022
20220427,2022-04-27,Wednesday,Apr,4,2,2022
20220428,2022-04-28,Thursday,Apr,4,2,2022
20220429,2022-04-29,Friday,Apr,4,2,2022
20220430,2022-04-30,Saturday,Apr,4,2,2022
20220501,2022-05-01,Sunday,May,5,2,2022
20220502,2022-05-02,Monday,May,5,2,2022
20220503,2022-05-03,Tuesday,May,5,2,2022
20220504,2022-05-04,Wednesday,May,5,2,2022
20220505,2022-05-05,Thursday,May,5,2,2022
20220506,2022-05-06,Friday,May,5,2,2022
20220507,2022-05-07,Saturday,May,5,2,2022
20220508,2022-05-08,Sunday,May,5,2,2022
20220509,2022-05-09,Monday,May,5,2,2022
20220510,2022-05-10,Tuesday,May,5,2,2022
20220511,2022-05-11,Wednesday,May,5,2,2022
20220512,2022-05-12,Thursday,May,5,2,2022
20220513,2022-05-13,Friday,May,5,2,2022
20220514,2022-05-14,Saturday,May,5,2,2022
20220515,2022-05-15,Sunday,May,5,2,2022
20220516,2022-05-16,Monday,May,5,2,2022
20220517,2022-05-17,Tuesday,May,5,2,2022
20220518,2022-05-18,Wednesday,May,5,2,2022
20220519,2022-05-19,Thursday,May,5,2,2022
20220520,2022-05-20,Friday,May,5,2,2022
20220521,2022-05-21,Saturday,May,5,2,2022
20220522,2022-05-22,Sunday,May,5,2,2022
20220523,2022-05-23,Monday,May,5,2,2022
20220524,2022-05-24,Tuesday,May,5,2,2022
20220525,2022-05-25,Wednesday,May,5,2,2022
20220526,2022-05-26,Thursday,May,5,2,2022
20220527,2022-05-27,Friday,May,5,2,2022
20220528,2022-05-28,Saturday,May,5,2,2022
20220529,2022-05-29,Sunday,May,5,2,2022
20220530,2022-05-30,Monday,May,5,2,2022
20220531,2022-05-31,Tuesday,May,5,2,2022
20220601,2022-06-01,Wednesday,Jun,6,2,2022
20220602,2022-06-02,Thursday,Jun,6,2,2022
20220603,2022-06-03,Friday,Jun,6,2,2022
20220604,2022-06-04,Saturday,Jun,6,2,2022
20220605,2022-06-05,Sunday,Jun,6,2,2022
20220606,2022-06-06,Monday,Jun,6,2,2022
20220607,2022-06-07,Tuesday,Jun,6,2,2022
20220608,2022-06-08,Wednesday,Jun,6,2,2022
20220609,2022-06-09,Thursday,Jun,6,2,2022
20220610,2022-06-10,Friday,Jun,6,2,2022
20220611,2022-06-11,Saturday,Jun,6,2,2022
20220612,2022-06-12,Sunday,Jun,6,2,2022
20220613,2022-06-13,Monday,Jun,6,2,2022
20220614,2022-06-14,Tuesday,Jun,6,2,2022
20220615,2022-06-15,Wednesday,Jun,6,2,2022
20220616,2022-06-16,Thursday,Jun,6,2,2022
20220617,2022-06-17,Friday,Jun,6,2,2022
20220618,2022-06-18,Saturday,Jun,6,2,2022
20220619,2022-06-19,Sunday,Jun,6,2,2022
20220620,2022-06-20,Monday,Jun,6,2,2022
20220621,2022-06-21,Tuesday,Jun,6,2,2022
20220622,2022-06-22,Wednesday,Jun,6,2,2022
20220623,2022-06-23,Thursday,Jun,6,2,2022
20220624,2022-06-24,Friday,Jun,6,2,2022
20220625,2022-06-25,Saturday,Jun,6,2,2022
20220626,2022-06-26,Sunday,Jun,6,2,2022
20220627,2022-06-27,Monday,Jun,6,2,2022
20220628,2022-06-28,Tuesday,Jun,6,2,2022
20220629,2022-06-29,Wednesday,Jun,6,2,2022
20220630,2022-06-30,Thursday,Jun,6,2,2022
20220701,2022-07-01,Friday,Jul,7,3,2022
20220702,2022-07-02,Saturday,Jul,7,3,2022
20220703,2022-07-03,Sunday,Jul,7,3,2022
20220704,2022-07-04,Monday,Jul,7,3,2022
20220705,2022-07-05,Tuesday,Jul,7,3,2022
20220706,2022-07-06,Wednesday,Jul,7,3,2022
20220707,2022-07-07,Thursday,Jul,7,3,2022
20220708,2022-07-08,Friday,Jul,7,3,2022
20220709,2022-07-09,Saturday,Jul,7,3,2022
20220710,2022-07-10,Sunday,Jul,7,3,2022
20220711,2022-07-11,Monday,Jul,7,3,2022
20220712,2022-07-12,Tuesday,Jul,7,3,2022
20220713,2022-07-13,Wednesday,Jul,7,3,2022
20220714,2022-07-14,Thursday,Jul,7,3,2022
20220715,2022-07-15,Friday,Jul,7,3,2022
20220716,2022-07-16,Saturday,Jul,7,3,2022
20220717,2022-07-17,Sunday,Jul,7,3,2022
20220718,2022-07-18,Monday,Jul,7,3,2022
20220719,2022-07-19,Tuesday,Jul,7,3,2022
20220720,2022-07-20,Wednesday,Jul,7,3,2022
20220721,2022-07-21,Thursday,Jul,7,3,2022
20220722,2022-07-22,Friday,Jul,7,3,2022
20220723,2022-07-23,Saturday,Jul,7,3,2022
